    0 405769.0000   637.0000     0.0000  405769.0000
    1  3794.6966   -11.3095   -60.5540    3794.6966
    2   516.1381    12.8536   -18.7329     516.1381
    3   443.3292    12.2599   -17.1179     443.3292
    4    84.1447     1.0788     9.1094      84.1447
    5  1211.6138   -13.6400    32.0244    1211.6138
    6   158.8118    -8.2121    -9.5590     158.8118
    7  1729.2928    -7.1807    40.9601    1729.2928
    8  1159.1251     2.0867   -33.9819    1159.1251
    9    99.6111     5.9615     8.0045      99.6111
   10   917.9776    -3.6775    30.0741     917.9776
   11   293.3994   -15.6606    -6.9387     293.3994
   12   555.3247   -18.2258    14.9380     555.3247
   13    76.3746    -3.9110     7.8153      76.3746
   14   794.4723    17.6865   -21.9468     794.4723
   15   151.0000    -9.5000    -7.7942     151.0000
   16   160.3365    -7.4281   -10.2547     160.3365
   17   847.2162    28.9472    -3.0453     847.2162
   18   520.9756     4.3369    22.4091     520.9756
   19   207.1878    12.6542    -6.8600     207.1878
   20    63.4176     1.5111    -7.8188      63.4176
   21   101.3328    -9.7626    -2.4544     101.3328
   22    23.9746     3.5228     3.4007      23.9746
   23   644.0318   -21.4323    13.5899     644.0318
   24    66.5044     5.8924     5.6377      66.5044
   25   643.8880    23.8148    -8.7603     643.8880
   26   100.9274   -10.0343     0.4894     100.9274
   27   817.3889   -26.4615    10.8249     817.3889
   28   150.2992    -6.2063   -10.5726     150.2992
   29   252.8699   -13.7546    -7.9800     252.8699
   30   127.0000    -0.5000   -11.2583     127.0000
   31    92.6899     7.5324    -5.9960      92.6899
   32    58.4269     4.7364     5.9995      58.4269
   33    94.0628    -8.4337    -4.7891      94.0628
   34    19.4577     4.3471     0.7485      19.4577
   35    22.4982     3.3252     3.3825      22.4982
   36   152.0244    12.1631     2.0206     152.0244
   37    60.7604    -2.0023     7.5333      60.7604
   38   223.2365   -13.9932    -5.2371     223.2365
   39    40.2752    -2.0636    -6.0014      40.2752
   40    14.6048     3.6664     1.0782      14.6048
   41    47.3112     6.6840    -1.6233      47.3112
   42    52.3591    -6.4545     3.2708      52.3591
   43    96.1695    -1.5668    -9.6806      96.1695
   44   153.4610    -2.6499   -12.1012     153.4610
   45     1.0000     1.0000    -0.0000       1.0000
   46   153.4610    -2.6499    12.1012     153.4610
   47    96.1695    -1.5668     9.6806      96.1695
   48    52.3591    -6.4545    -3.2708      52.3591
   49    47.3112     6.6840     1.6233      47.3112
   50    14.6048     3.6664    -1.0782      14.6048
   51    40.2752    -2.0636     6.0014      40.2752
   52   223.2365   -13.9932     5.2371     223.2365
   53    60.7604    -2.0023    -7.5333      60.7604
   54   152.0244    12.1631    -2.0206     152.0244
   55    22.4982     3.3252    -3.3825      22.4982
   56    19.4577     4.3471    -0.7485      19.4577
   57    94.0628    -8.4337     4.7891      94.0628
   58    58.4269     4.7364    -5.9995      58.4269
   59    92.6899     7.5324     5.9960      92.6899
   60   127.0000    -0.5000    11.2583     127.0000
   61   252.8699   -13.7546     7.9800     252.8699
   62   150.2992    -6.2063    10.5726     150.2992
   63   817.3889   -26.4615   -10.8249     817.3889
   64   100.9274   -10.0343    -0.4894     100.9274
   65   643.8880    23.8148     8.7603     643.8880
   66    66.5044     5.8924    -5.6377      66.5044
   67   644.0318   -21.4323   -13.5899     644.0318
   68    23.9746     3.5228    -3.4007      23.9746
   69   101.3328    -9.7626     2.4544     101.3328
   70    63.4176     1.5111     7.8188      63.4176
   71   207.1878    12.6542     6.8600     207.1878
   72   520.9756     4.3369   -22.4091     520.9756
   73   847.2162    28.9472     3.0453     847.2162
   74   160.3365    -7.4281    10.2547     160.3365
   75   151.0000    -9.5000     7.7942     151.0000
   76   794.4723    17.6865    21.9468     794.4723
   77    76.3746    -3.9110    -7.8153      76.3746
   78   555.3247   -18.2258   -14.9380     555.3247
   79   293.3994   -15.6606     6.9387     293.3994
   80   917.9776    -3.6775   -30.0741     917.9776
   81    99.6111     5.9615    -8.0045      99.6111
   82  1159.1251     2.0867    33.9819    1159.1251
   83  1729.2928    -7.1807   -40.9601    1729.2928
   84   158.8118    -8.2121     9.5590     158.8118
   85  1211.6138   -13.6400   -32.0244    1211.6138
   86    84.1447     1.0788    -9.1094      84.1447
   87   443.3292    12.2599    17.1179     443.3292
   88   516.1381    12.8536    18.7329     516.1381
   89  3794.6966   -11.3095    60.5540    3794.6966
